map_name,seed,num_agents,solver,task_frequency,task_num,solved,service_time,makespan,comp_time
warehouse.map,10,20,PIBT,0.2,500,1,26.42,2588,9
warehouse.map,11,20,PIBT,0.2,500,1,27.072,2560,9
warehouse.map,84,20,PIBT,0.2,500,1,25.968,2730,10
warehouse.map,85,20,PIBT,0.2,500,1,25.374,2674,10
warehouse.map,86,20,PIBT,0.2,500,1,25.886,2479,9
warehouse.map,87,20,PIBT,0.2,500,1,24.972,2536,10
warehouse.map,76,20,PIBT,0.2,500,1,24.962,2553,9
warehouse.map,77,20,PIBT,0.2,500,1,26.532,2403,9
warehouse.map,78,20,PIBT,0.2,500,1,25.716,2426,9
warehouse.map,79,20,PIBT,0.2,500,1,25.776,2389,9
warehouse.map,88,20,PIBT,0.2,500,1,26.986,2521,10
warehouse.map,89,20,PIBT,0.2,500,1,25.238,2266,9
warehouse.map,90,20,PIBT,0.2,500,1,25.5,2607,11
warehouse.map,91,20,PIBT,0.2,500,1,26.272,2512,10
warehouse.map,48,20,PIBT,0.2,500,1,25.346,2640,9
warehouse.map,49,20,PIBT,0.2,500,1,26.626,2552,9
warehouse.map,50,20,PIBT,0.2,500,1,25.644,2235,8
warehouse.map,51,20,PIBT,0.2,500,1,26.154,2641,9
warehouse.map,72,20,PIBT,0.2,500,1,26.71,2490,9
warehouse.map,73,20,PIBT,0.2,500,1,26.49,2499,9
warehouse.map,74,20,PIBT,0.2,500,1,25.46,2610,9
warehouse.map,75,20,PIBT,0.2,500,1,25.744,2485,9
warehouse.map,68,20,PIBT,0.2,500,1,25.51,2450,9
warehouse.map,69,20,PIBT,0.2,500,1,25.234,2373,9
warehouse.map,70,20,PIBT,0.2,500,1,25.63,2647,10
warehouse.map,71,20,PIBT,0.2,500,1,26.076,2464,10
warehouse.map,92,20,PIBT,0.2,500,1,25.628,2385,10
warehouse.map,93,20,PIBT,0.2,500,1,25.31,2653,11
warehouse.map,94,20,PIBT,0.2,500,1,25.866,2513,10
warehouse.map,95,20,PIBT,0.2,500,1,25.688,2521,10
warehouse.map,96,20,PIBT,0.2,500,1,25.706,2643,10
warehouse.map,97,20,PIBT,0.2,500,1,26.208,2741,11
warehouse.map,98,20,PIBT,0.2,500,1,25.504,2517,10
warehouse.map,99,20,PIBT,0.2,500,1,25.056,2355,9
warehouse.map,80,30,PIBT,0.2,500,1,24.734,2501,14
warehouse.map,81,30,PIBT,0.2,500,1,24.188,2648,15
